"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPIFORECAST","TOT","AGRWTH","A","2020",0.868432479374803,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2021",2.81962978906581,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2022",5.24360231642268,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2020",0.729345427800883,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2021",3.39519318527533,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2022",6.00136773759682,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2020",3.16129528497813,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2021",3.83984491632618,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2022",12.9509314337559,
"DNK","CPIFORECAST","TOT","AGRWTH","A","2020",0.420711974109934,
"DNK","CPIFORECAST","TOT","AGRWTH","A","2021",1.85304544034702,
"DNK","CPIFORECAST","TOT","AGRWTH","A","2022",5.19656092214285,
"HUN","CPIFORECAST","TOT","AGRWTH","A","2020",3.32674385766712,
"HUN","CPIFORECAST","TOT","AGRWTH","A","2021",5.11096534567339,
"HUN","CPIFORECAST","TOT","AGRWTH","A","2022",10.2709489028776,
"ISL","CPIFORECAST","TOT","AGRWTH","A","2020",2.84791869935291,
"ISL","CPIFORECAST","TOT","AGRWTH","A","2021",4.44424340289643,
"ISL","CPIFORECAST","TOT","AGRWTH","A","2022",6.48977727295231,
"JPN","CPIFORECAST","TOT","AGRWTH","A","2020",0,
"JPN","CPIFORECAST","TOT","AGRWTH","A","2021",-0.249979168402689,
"JPN","CPIFORECAST","TOT","AGRWTH","A","2022",1.89760368574062,
"KOR","CPIFORECAST","TOT","AGRWTH","A","2020",0.537288023411984,
"KOR","CPIFORECAST","TOT","AGRWTH","A","2021",2.49833333315535,
"KOR","CPIFORECAST","TOT","AGRWTH","A","2022",4.75244731502684,
"MEX","CPIFORECAST","TOT","AGRWTH","A","2020",3.39683415570015,
"MEX","CPIFORECAST","TOT","AGRWTH","A","2021",5.68920847674181,
"MEX","CPIFORECAST","TOT","AGRWTH","A","2022",6.89369423380616,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2020",1.71456170007207,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2021",3.94112060753604,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2022",6.60832591804093,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2020",1.3093536007224,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2021",3.47619401322139,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2022",4.64326080722039,
"POL","CPIFORECAST","TOT","AGRWTH","A","2020",3.37446972618632,
"POL","CPIFORECAST","TOT","AGRWTH","A","2021",5.05502704968909,
"POL","CPIFORECAST","TOT","AGRWTH","A","2022",11.0654470833384,
"SWE","CPIFORECAST","TOT","AGRWTH","A","2020",0.497367318853519,
"SWE","CPIFORECAST","TOT","AGRWTH","A","2021",2.16319736458853,
"SWE","CPIFORECAST","TOT","AGRWTH","A","2022",6.4697342684499,
"CHE","CPIFORECAST","TOT","AGRWTH","A","2020",-0.725874933313385,
"CHE","CPIFORECAST","TOT","AGRWTH","A","2021",0.58181416972923,
"CHE","CPIFORECAST","TOT","AGRWTH","A","2022",2.48433353305696,
"TUR","CPIFORECAST","TOT","AGRWTH","A","2020",12.2789574462575,
"TUR","CPIFORECAST","TOT","AGRWTH","A","2021",19.5964926943785,
"TUR","CPIFORECAST","TOT","AGRWTH","A","2022",71.978861786313,
"USA","CPIFORECAST","TOT","AGRWTH","A","2020",1.24850134854188,
"USA","CPIFORECAST","TOT","AGRWTH","A","2021",4.68522973967979,
"USA","CPIFORECAST","TOT","AGRWTH","A","2022",7.03829072857569,
"BRA","CPIFORECAST","TOT","AGRWTH","A","2020",3.21176803803376,
"BRA","CPIFORECAST","TOT","AGRWTH","A","2021",8.30165975585675,
"BRA","CPIFORECAST","TOT","AGRWTH","A","2022",9.71844096045509,
"CHL","CPIFORECAST","TOT","AGRWTH","A","2020",3.04549084804355,
"CHL","CPIFORECAST","TOT","AGRWTH","A","2021",4.52456838318404,
"CHL","CPIFORECAST","TOT","AGRWTH","A","2022",8.95754016302524,
"CHN","CPIFORECAST","TOT","AGRWTH","A","2020",2.49039891610361,
"CHN","CPIFORECAST","TOT","AGRWTH","A","2021",0.848896304224371,
"CHN","CPIFORECAST","TOT","AGRWTH","A","2022",2.03215898003383,
"IND","CPIFORECAST","TOT","AGRWTH","A","2020",6.16370862874183,
"IND","CPIFORECAST","TOT","AGRWTH","A","2021",5.5751389090504,
"IND","CPIFORECAST","TOT","AGRWTH","A","2022",6.74339287536657,
"IDN","CPIFORECAST","TOT","AGRWTH","A","2020",1.92096776298278,
"IDN","CPIFORECAST","TOT","AGRWTH","A","2021",1.56013603766381,
"IDN","CPIFORECAST","TOT","AGRWTH","A","2022",3.80684697633614,
"ISR","CPIFORECAST","TOT","AGRWTH","A","2020",-0.588430300016565,
"ISR","CPIFORECAST","TOT","AGRWTH","A","2021",1.49228845510326,
"ISR","CPIFORECAST","TOT","AGRWTH","A","2022",4.03600761725169,
"RUS","CPIFORECAST","TOT","AGRWTH","A","2020",3.38166031878814,
"RUS","CPIFORECAST","TOT","AGRWTH","A","2021",6.69445598526192,
"RUS","CPIFORECAST","TOT","AGRWTH","A","2022",16.1963166595565,
"ZAF","CPIFORECAST","TOT","AGRWTH","A","2020",3.27490774907742,
"ZAF","CPIFORECAST","TOT","AGRWTH","A","2021",4.55560518134432,
"ZAF","CPIFORECAST","TOT","AGRWTH","A","2022",6.01929306334125,
"COL","CPIFORECAST","TOT","AGRWTH","A","2020",2.52629445027728,
"COL","CPIFORECAST","TOT","AGRWTH","A","2021",3.49593818140886,
"COL","CPIFORECAST","TOT","AGRWTH","A","2022",8.4091478564883,
"AUT","CPIFORECAST","TOT","AGRWTH","A","2020",1.38806667705278,
"AUT","CPIFORECAST","TOT","AGRWTH","A","2021",2.75886971679051,
"AUT","CPIFORECAST","TOT","AGRWTH","A","2022",6.73484868187291,
"BEL","CPIFORECAST","TOT","AGRWTH","A","2020",0.427624710986195,
"BEL","CPIFORECAST","TOT","AGRWTH","A","2021",3.22240359785405,
"BEL","CPIFORECAST","TOT","AGRWTH","A","2022",9.03216275277451,
"FIN","CPIFORECAST","TOT","AGRWTH","A","2020",0.382959893800588,
"FIN","CPIFORECAST","TOT","AGRWTH","A","2021",2.06618525391331,
"FIN","CPIFORECAST","TOT","AGRWTH","A","2022",6.23280545447976,
"FRA","CPIFORECAST","TOT","AGRWTH","A","2020",0.52407572100116,
"FRA","CPIFORECAST","TOT","AGRWTH","A","2021",2.06641600080526,
"FRA","CPIFORECAST","TOT","AGRWTH","A","2022",5.15817638343315,
"DEU","CPIFORECAST","TOT","AGRWTH","A","2020",0.371424055634691,
"DEU","CPIFORECAST","TOT","AGRWTH","A","2021",3.21234548535599,
"DEU","CPIFORECAST","TOT","AGRWTH","A","2022",7.22123042209498,
"GRC","CPIFORECAST","TOT","AGRWTH","A","2020",-1.26222988524508,
"GRC","CPIFORECAST","TOT","AGRWTH","A","2021",0.574111447110785,
"GRC","CPIFORECAST","TOT","AGRWTH","A","2022",8.8367221477853,
"IRL","CPIFORECAST","TOT","AGRWTH","A","2020",-0.459091654369626,
"IRL","CPIFORECAST","TOT","AGRWTH","A","2021",2.42134739000795,
"IRL","CPIFORECAST","TOT","AGRWTH","A","2022",6.55746883137379,
"ITA","CPIFORECAST","TOT","AGRWTH","A","2020",-0.145384056215221,
"ITA","CPIFORECAST","TOT","AGRWTH","A","2021",1.94127639160009,
"ITA","CPIFORECAST","TOT","AGRWTH","A","2022",6.3391753802346,
"LUX","CPIFORECAST","TOT","AGRWTH","A","2020",0.00393350798125683,
"LUX","CPIFORECAST","TOT","AGRWTH","A","2021",3.47393760257687,
"LUX","CPIFORECAST","TOT","AGRWTH","A","2022",8.00401654411481,
"NLD","CPIFORECAST","TOT","AGRWTH","A","2020",1.11236282565319,
"NLD","CPIFORECAST","TOT","AGRWTH","A","2021",2.82666791401818,
"NLD","CPIFORECAST","TOT","AGRWTH","A","2022",9.15681905566461,
"PRT","CPIFORECAST","TOT","AGRWTH","A","2020",-0.121337768992527,
"PRT","CPIFORECAST","TOT","AGRWTH","A","2021",0.941308985281895,
"PRT","CPIFORECAST","TOT","AGRWTH","A","2022",6.31410366917993,
"SVK","CPIFORECAST","TOT","AGRWTH","A","2020",2.01424865390196,
"SVK","CPIFORECAST","TOT","AGRWTH","A","2021",2.81958497651627,
"SVK","CPIFORECAST","TOT","AGRWTH","A","2022",10.7586395463022,
"ESP","CPIFORECAST","TOT","AGRWTH","A","2020",-0.337284301893168,
"ESP","CPIFORECAST","TOT","AGRWTH","A","2021",3.0081398637779,
"ESP","CPIFORECAST","TOT","AGRWTH","A","2022",8.12835119580987,
"GBR","CPIFORECAST","TOT","AGRWTH","A","2020",0.881261595547289,
"GBR","CPIFORECAST","TOT","AGRWTH","A","2021",2.58237547859452,
"GBR","CPIFORECAST","TOT","AGRWTH","A","2022",8.7984864990168,
"EST","CPIFORECAST","TOT","AGRWTH","A","2020",-0.634262227082342,
"EST","CPIFORECAST","TOT","AGRWTH","A","2021",4.48563231436803,
"EST","CPIFORECAST","TOT","AGRWTH","A","2022",14.5443928274405,
"LVA","CPIFORECAST","TOT","AGRWTH","A","2020",0.0806228692526752,
"LVA","CPIFORECAST","TOT","AGRWTH","A","2021",3.23919564856169,
"LVA","CPIFORECAST","TOT","AGRWTH","A","2022",13.285124280869,
"SVN","CPIFORECAST","TOT","AGRWTH","A","2020",-0.275108616369969,
"SVN","CPIFORECAST","TOT","AGRWTH","A","2021",2.04714393860631,
"SVN","CPIFORECAST","TOT","AGRWTH","A","2022",7.64334230213626,
"ARG","CPIFORECAST","TOT","AGRWTH","A","2020",40.4047598277393,
"ARG","CPIFORECAST","TOT","AGRWTH","A","2021",48.8155497943494,
"ARG","CPIFORECAST","TOT","AGRWTH","A","2022",60.1342126458716,
"CRI","CPIFORECAST","TOT","AGRWTH","A","2020",0.724841973552442,
"CRI","CPIFORECAST","TOT","AGRWTH","A","2021",1.72657484994136,
"CRI","CPIFORECAST","TOT","AGRWTH","A","2022",5.68489845279373,
"LTU","CPIFORECAST","TOT","AGRWTH","A","2020",1.06197519774044,
"LTU","CPIFORECAST","TOT","AGRWTH","A","2021",4.62509604342047,
"LTU","CPIFORECAST","TOT","AGRWTH","A","2022",15.5793353994562,
"EA17","CPIFORECAST","TOT","AGRWTH","A","2020",0.255630521635698,
"EA17","CPIFORECAST","TOT","AGRWTH","A","2021",2.56038068799813,
"EA17","CPIFORECAST","TOT","AGRWTH","A","2022",7.01255378058062,
